Dataset,Precision,Recall,F1p,F1n,Support
fora,0.4686807095343681,0.6180555555555556,0.5331021437578815,0.6866271688531528,2736
iq2,0.5497752087347463,0.6807157057654075,0.6082785574702434,0.7237880496054115,2515
whow,0.5070360598065083,0.6169074371321562,0.5566014965001207,0.6958105646630237,1869
