Variant,Dataset,Precision,Recall,F1p,F1n,Accuracy,Support
cautious1,ceri,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8695652173913043,0.8,60
cautious1,fora,0.5,0.25925925925925924,0.34146341463414637,0.7522935779816514,0.64,75
cautious1,iq2,1.0,0.10526315789473684,0.19047619047619047,0.7901234567901234,0.6666666666666666,51
cautious1,umod,0.2,0.4,0.26666666666666666,0.7441860465116279,0.6206896551724138,29
cautious1,whow,0.0,0.0,0.0,0.7916666666666666,0.6551724137931034,58
cautious1,wikitactics,0.75,0.11538461538461539,0.2,0.7446808510638298,0.6129032258064516,62
cautious1,All,0.5035714285714286,0.24188926732786384,0.2616724738675958,0.7820859694008672,0.6659053269064391,335
cautious2,ceri,0.4090909090909091,0.6428571428571429,0.5,0.7631578947368421,0.6785714285714286,56
cautious2,fora,0.5238095238095238,0.5,0.5116279069767442,0.72,0.6440677966101694,59
cautious2,iq2,0.5,0.21052631578947367,0.2962962962962963,0.6545454545454545,0.5365853658536586,41
cautious2,umod,0.18181818181818182,0.5,0.26666666666666666,0.717948717948718,0.5925925925925926,27
cautious2,whow,0.4,0.14285714285714285,0.21052631578947367,0.7692307692307693,0.6428571428571429,42
cautious2,wikitactics,0.5714285714285714,0.16,0.25,0.7073170731707317,0.5789473684210527,57
cautious2,All,0.43102453102453103,0.35937343358395984,0.3391861976215302,0.7220333182720858,0.6122702824843408,282
concise,ceri,0.35294117647058826,0.75,0.48,0.7111111111111111,0.6285714285714286,35
concise,fora,0.4642857142857143,0.65,0.5416666666666666,0.5416666666666666,0.5416666666666666,48
concise,iq2,0.4,0.4,0.4,0.5384615384615384,0.4782608695652174,23
concise,umod,0.18181818181818182,0.6666666666666666,0.2857142857142857,0.7222222222222222,0.6,25
concise,whow,0.5714285714285714,0.4,0.47058823529411764,0.6896551724137931,0.6086956521739131,23
concise,wikitactics,0.8,0.23529411764705882,0.36363636363636365,0.8333333333333334,0.7358490566037735,53
concise,All,0.4617456073338427,0.5169934640522875,0.42360092521857223,0.6727416740347775,0.5988406122634998,207
descriptive,ceri,0.39285714285714285,0.7333333333333333,0.5116279069767442,0.6440677966101694,0.5882352941176471,51
descriptive,fora,0.4444444444444444,0.3870967741935484,0.41379310344827586,0.6851851851851852,0.5903614457831325,83
descriptive,iq2,0.3333333333333333,0.35,0.34146341463414637,0.6086956521739131,0.509090909090909,55
descriptive,umod,0.09090909090909091,0.25,0.13333333333333333,0.5806451612903226,0.43478260869565216,23
descriptive,whow,0.6666666666666666,0.25,0.36363636363636365,0.8205128205128205,0.72,50
descriptive,wikitactics,0.5555555555555556,0.38461538461538464,0.45454545454545453,0.7,0.6129032258064516,62
descriptive,All,0.41396103896103886,0.392507582023711,0.3697332627623863,0.6731844359620686,0.5758955805822986,324
role,ceri,0.4,0.375,0.3870967741935484,0.8155339805825242,0.7164179104477612,67
role,fora,0.4473684210526316,0.5666666666666667,0.5,0.6530612244897959,0.5903614457831325,83
role,iq2,0.5454545454545454,0.25,0.34285714285714286,0.7766990291262136,0.6666666666666666,69
role,umod,0.125,0.2,0.15384615384615385,0.8,0.6764705882352942,34
role,whow,0.4,0.09523809523809523,0.15384615384615385,0.7924528301886793,0.6666666666666666,66
role,wikitactics,0.6666666666666666,0.06896551724137931,0.125,0.78125,0.65,80
role,All,0.4307482721956406,0.25931171319102353,0.2771077041238332,0.7698328440645356,0.6610972129665869,399
