Variant,Dataset,Precision,Recall,F1p,F1n,Accuracy,Support
cautious1,ceri,0.2727272727272727,0.375,0.3157894736842105,0.7291666666666666,0.6119402985074627,67
cautious1,fora,0.4,0.6206896551724138,0.4864864864864865,0.5476190476190477,0.5189873417721519,79
cautious1,iq2,0.2727272727272727,0.25,0.2608695652173913,0.6222222222222222,0.5,68
cautious1,umod,0.16666666666666666,0.2,0.18181818181818182,0.8421052631578947,0.7352941176470589,34
cautious1,whow,0.47368421052631576,0.42857142857142855,0.45,0.7608695652173914,0.6666666666666666,66
cautious1,wikitactics,0.5,0.07142857142857142,0.125,0.7704918032786885,0.6363636363636364,77
cautious1,All,0.3476342371079213,0.3242816091954023,0.30332728453437835,0.7120790946936518,0.611542010159496,391
cautious2,ceri,0.3181818181818182,0.4666666666666667,0.3783783783783784,0.7526881720430108,0.6461538461538462,65
cautious2,fora,0.4146341463414634,0.6071428571428571,0.4927536231884058,0.5882352941176471,0.5454545454545454,77
cautious2,iq2,0.2857142857142857,0.25,0.26666666666666666,0.6292134831460674,0.5074626865671642,67
cautious2,umod,0.0,0.0,0.0,0.8070175438596491,0.6764705882352942,34
cautious2,whow,0.45,0.42857142857142855,0.43902439024390244,0.7472527472527473,0.6515151515151515,66
cautious2,wikitactics,0.3333333333333333,0.037037037037037035,0.06666666666666667,0.7741935483870968,0.6363636363636364,77
cautious2,All,0.30031059726181675,0.2982363315696649,0.27391495419066997,0.7164334648010363,0.6105700757149396,386
concise,ceri,0.3055555555555556,0.7333333333333333,0.43137254901960786,0.5396825396825397,0.49122807017543857,57
concise,fora,0.375,0.75,0.5,0.28,0.4098360655737705,61
concise,iq2,0.3783783783783784,0.6363636363636364,0.4745762711864407,0.5079365079365079,0.4918032786885246,61
concise,umod,0.2,0.6,0.3,0.6956521739130435,0.5757575757575758,33
concise,whow,0.4,0.6,0.48,0.5517241379310345,0.5185185185185185,54
concise,wikitactics,0.6153846153846154,0.36363636363636365,0.45714285714285713,0.819047619047619,0.7285714285714285,70
concise,All,0.3790530915530916,0.6138888888888889,0.440515279558151,0.5656738297517907,0.5359524895475428,336
descriptive,ceri,0.2857142857142857,0.9333333333333333,0.4375,0.47058823529411764,0.45454545454545453,66
descriptive,fora,0.4117647058823529,0.9032258064516129,0.5656565656565656,0.29508196721311475,0.4625,80
descriptive,iq2,0.37037037037037035,0.8695652173913043,0.5194805194805194,0.3728813559322034,0.45588235294117646,68
descriptive,umod,0.16666666666666666,0.6,0.2608695652173913,0.6222222222222222,0.5,34
descriptive,whow,0.29411764705882354,0.7142857142857143,0.4166666666666667,0.25,0.34375,64
descriptive,wikitactics,0.6333333333333333,0.6551724137931034,0.6440677966101694,0.7878787878787878,0.7341772151898734,79
descriptive,All,0.3603278348376388,0.7792637475425113,0.47404018560521877,0.4664420947567409,0.4918091704460841,391
role,ceri,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8636363636363636,0.7735849056603774,53
role,fora,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.7058823529411765,0.5833333333333334,72
role,iq2,0.0,0.0,0.0,0.7878787878787878,0.65,60
role,umod,0.0,0.0,0.0,0.8571428571428571,0.75,28
role,whow,0.75,0.17647058823529413,0.2857142857142857,0.8235294117647058,0.7169811320754716,53
role,wikitactics,1.0,0.038461538461538464,0.07407407407407407,0.8,0.6710526315789473,76
role,All,0.41865079365079366,0.12709186238598003,0.16313932980599646,0.8063449622273152,0.6908253337746882,342
