dataset,precision,recall,f1,support
fora,0.42249080399369415,0.5995525727069351,0.4956843403205919,1341
iq2,0.4302653867871259,0.6205211726384365,0.5081693897965989,1228
whow,0.4119822485207101,0.5912951167728238,0.48561464690496947,942
