Variant,Dataset,Precision,Recall,F1p,F1n,Accuracy,Support
dual1,ceri,0.2978723404255319,0.875,0.4444444444444444,0.5070422535211268,0.47761194029850745,67
dual1,fora,0.38461538461538464,0.8064516129032258,0.5208333333333334,0.3611111111111111,0.4523809523809524,84
dual1,iq2,0.4,0.5833333333333334,0.4745762711864407,0.6075949367088608,0.5507246376811594,69
dual1,umod,0.11764705882352941,0.4,0.18181818181818182,0.6086956521739131,0.47058823529411764,34
dual1,whow,0.4375,0.6666666666666666,0.5283018867924528,0.6835443037974683,0.6212121212121212,66
dual1,wikitactics,0.6086956521739131,0.4827586206896552,0.5384615384615384,0.7777777777777778,0.7,80
dual1,All,0.37438840600639317,0.6357017055988134,0.4480726093393986,0.5909610058483763,0.5454196478111429,400
dual2,ceri,0.2978723404255319,0.875,0.4444444444444444,0.5070422535211268,0.47761194029850745,67
dual2,fora,0.38461538461538464,0.8064516129032258,0.5208333333333334,0.3611111111111111,0.4523809523809524,84
dual2,iq2,0.4,0.5833333333333334,0.4745762711864407,0.6075949367088608,0.5507246376811594,69
dual2,umod,0.11764705882352941,0.4,0.18181818181818182,0.6086956521739131,0.47058823529411764,34
dual2,whow,0.4375,0.6666666666666666,0.5283018867924528,0.6835443037974683,0.6212121212121212,66
dual2,wikitactics,0.6086956521739131,0.4827586206896552,0.5384615384615384,0.7777777777777778,0.7,80
dual2,All,0.37438840600639317,0.6357017055988134,0.4480726093393986,0.5909610058483763,0.5454196478111429,400
dual3,ceri,0.2978723404255319,0.875,0.4444444444444444,0.5070422535211268,0.47761194029850745,67
dual3,fora,0.38461538461538464,0.8064516129032258,0.5208333333333334,0.3611111111111111,0.4523809523809524,84
dual3,iq2,0.4,0.5833333333333334,0.4745762711864407,0.6075949367088608,0.5507246376811594,69
dual3,umod,0.11764705882352941,0.4,0.18181818181818182,0.6086956521739131,0.47058823529411764,34
dual3,whow,0.4375,0.6666666666666666,0.5283018867924528,0.6835443037974683,0.6212121212121212,66
dual3,wikitactics,0.6086956521739131,0.4827586206896552,0.5384615384615384,0.7777777777777778,0.7,80
dual3,All,0.37438840600639317,0.6357017055988134,0.4480726093393986,0.5909610058483763,0.5454196478111429,400
dual4,ceri,0.2978723404255319,0.875,0.4444444444444444,0.5070422535211268,0.47761194029850745,67
dual4,fora,0.38461538461538464,0.8064516129032258,0.5208333333333334,0.3611111111111111,0.4523809523809524,84
dual4,iq2,0.4,0.5833333333333334,0.4745762711864407,0.6075949367088608,0.5507246376811594,69
dual4,umod,0.11764705882352941,0.4,0.18181818181818182,0.6086956521739131,0.47058823529411764,34
dual4,whow,0.4375,0.6666666666666666,0.5283018867924528,0.6835443037974683,0.6212121212121212,66
dual4,wikitactics,0.6086956521739131,0.4827586206896552,0.5384615384615384,0.7777777777777778,0.7,80
dual4,All,0.37438840600639317,0.6357017055988134,0.4480726093393986,0.5909610058483763,0.5454196478111429,400
dual5,ceri,0.2978723404255319,0.875,0.4444444444444444,0.5070422535211268,0.47761194029850745,67
dual5,fora,0.38461538461538464,0.8064516129032258,0.5208333333333334,0.3611111111111111,0.4523809523809524,84
dual5,iq2,0.4,0.5833333333333334,0.4745762711864407,0.6075949367088608,0.5507246376811594,69
dual5,umod,0.11764705882352941,0.4,0.18181818181818182,0.6086956521739131,0.47058823529411764,34
dual5,whow,0.4375,0.6666666666666666,0.5283018867924528,0.6835443037974683,0.6212121212121212,66
dual5,wikitactics,0.6086956521739131,0.4827586206896552,0.5384615384615384,0.7777777777777778,0.7,80
dual5,All,0.37438840600639317,0.6357017055988134,0.4480726093393986,0.5909610058483763,0.5454196478111429,400
