Variant,Dataset,Precision,Recall,F1p,F1n,Accuracy,Support
dual1,ceri,0.5,0.6875,0.5789473684210527,0.7419354838709677,0.68,50
dual1,fora,0.5185185185185185,0.6086956521739131,0.56,0.6666666666666666,0.6206896551724138,58
dual1,iq2,0.375,0.23076923076923078,0.2857142857142857,0.6511627906976745,0.53125,32
dual1,umod,0.16666666666666666,0.5,0.25,0.625,0.5,24
dual1,whow,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.75,0.6216216216216216,37
dual1,wikitactics,0.3333333333333333,0.09523809523809523,0.14814814814814814,0.6933333333333334,0.5490196078431373,51
dual1,All,0.371141975308642,0.38147827414131763,0.3408386707509514,0.6880163790947736,0.5837634807728621,252
dual2,ceri,0.5,0.6875,0.5789473684210527,0.7419354838709677,0.68,50
dual2,fora,0.5185185185185185,0.6086956521739131,0.56,0.6666666666666666,0.6206896551724138,58
dual2,iq2,0.375,0.23076923076923078,0.2857142857142857,0.6511627906976745,0.53125,32
dual2,umod,0.16666666666666666,0.5,0.25,0.625,0.5,24
dual2,whow,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.75,0.6216216216216216,37
dual2,wikitactics,0.3333333333333333,0.09523809523809523,0.14814814814814814,0.6933333333333334,0.5490196078431373,51
dual2,All,0.371141975308642,0.38147827414131763,0.3408386707509514,0.6880163790947736,0.5837634807728621,252
dual3,ceri,0.5,0.6875,0.5789473684210527,0.7419354838709677,0.68,50
dual3,fora,0.5185185185185185,0.6086956521739131,0.56,0.6666666666666666,0.6206896551724138,58
dual3,iq2,0.375,0.23076923076923078,0.2857142857142857,0.6511627906976745,0.53125,32
dual3,umod,0.16666666666666666,0.5,0.25,0.625,0.5,24
dual3,whow,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.75,0.6216216216216216,37
dual3,wikitactics,0.3333333333333333,0.09523809523809523,0.14814814814814814,0.6933333333333334,0.5490196078431373,51
dual3,All,0.371141975308642,0.38147827414131763,0.3408386707509514,0.6880163790947736,0.5837634807728621,252
dual4,ceri,0.5,0.6875,0.5789473684210527,0.7419354838709677,0.68,50
dual4,fora,0.5185185185185185,0.6086956521739131,0.56,0.6666666666666666,0.6206896551724138,58
dual4,iq2,0.375,0.23076923076923078,0.2857142857142857,0.6511627906976745,0.53125,32
dual4,umod,0.16666666666666666,0.5,0.25,0.625,0.5,24
dual4,whow,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.75,0.6216216216216216,37
dual4,wikitactics,0.3333333333333333,0.09523809523809523,0.14814814814814814,0.6933333333333334,0.5490196078431373,51
dual4,All,0.371141975308642,0.38147827414131763,0.3408386707509514,0.6880163790947736,0.5837634807728621,252
dual5,ceri,0.5,0.6875,0.5789473684210527,0.7419354838709677,0.68,50
dual5,fora,0.5185185185185185,0.6086956521739131,0.56,0.6666666666666666,0.6206896551724138,58
dual5,iq2,0.375,0.23076923076923078,0.2857142857142857,0.6511627906976745,0.53125,32
dual5,umod,0.16666666666666666,0.5,0.25,0.625,0.5,24
dual5,whow,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.75,0.6216216216216216,37
dual5,wikitactics,0.3333333333333333,0.09523809523809523,0.14814814814814814,0.6933333333333334,0.5490196078431373,51
dual5,All,0.371141975308642,0.38147827414131763,0.3408386707509514,0.6880163790947736,0.5837634807728621,252
