Variant,Dataset,Precision,Recall,F1p,F1n,Accuracy,Support
dual1,ceri,0.28846153846153844,0.9375,0.4411764705882353,0.42424242424242425,0.43283582089552236,67
dual1,fora,0.38461538461538464,0.6451612903225806,0.4819277108433735,0.49411764705882355,0.4880952380952381,84
dual1,iq2,0.325,0.5416666666666666,0.40625,0.4864864864864865,0.4492753623188406,69
dual1,umod,0.2,0.6,0.3,0.7083333333333334,0.5882352941176471,34
dual1,whow,0.42424242424242425,0.6666666666666666,0.5185185185185185,0.6666666666666666,0.6060606060606061,66
dual1,wikitactics,0.4878048780487805,0.6896551724137931,0.5714285714285714,0.6666666666666666,0.625,80
dual1,All,0.35168737089468793,0.6801082993449512,0.4532168785631165,0.5744188707424002,0.5315837202479757,400
dual2,ceri,0.28846153846153844,0.9375,0.4411764705882353,0.42424242424242425,0.43283582089552236,67
dual2,fora,0.38461538461538464,0.6451612903225806,0.4819277108433735,0.49411764705882355,0.4880952380952381,84
dual2,iq2,0.325,0.5416666666666666,0.40625,0.4864864864864865,0.4492753623188406,69
dual2,umod,0.2,0.6,0.3,0.7083333333333334,0.5882352941176471,34
dual2,whow,0.42424242424242425,0.6666666666666666,0.5185185185185185,0.6666666666666666,0.6060606060606061,66
dual2,wikitactics,0.4878048780487805,0.6896551724137931,0.5714285714285714,0.6666666666666666,0.625,80
dual2,All,0.35168737089468793,0.6801082993449512,0.4532168785631165,0.5744188707424002,0.5315837202479757,400
dual3,ceri,0.28846153846153844,0.9375,0.4411764705882353,0.42424242424242425,0.43283582089552236,67
dual3,fora,0.38461538461538464,0.6451612903225806,0.4819277108433735,0.49411764705882355,0.4880952380952381,84
dual3,iq2,0.325,0.5416666666666666,0.40625,0.4864864864864865,0.4492753623188406,69
dual3,umod,0.2,0.6,0.3,0.7083333333333334,0.5882352941176471,34
dual3,whow,0.42424242424242425,0.6666666666666666,0.5185185185185185,0.6666666666666666,0.6060606060606061,66
dual3,wikitactics,0.4878048780487805,0.6896551724137931,0.5714285714285714,0.6666666666666666,0.625,80
dual3,All,0.35168737089468793,0.6801082993449512,0.4532168785631165,0.5744188707424002,0.5315837202479757,400
dual4,ceri,0.28846153846153844,0.9375,0.4411764705882353,0.42424242424242425,0.43283582089552236,67
dual4,fora,0.38461538461538464,0.6451612903225806,0.4819277108433735,0.49411764705882355,0.4880952380952381,84
dual4,iq2,0.325,0.5416666666666666,0.40625,0.4864864864864865,0.4492753623188406,69
dual4,umod,0.2,0.6,0.3,0.7083333333333334,0.5882352941176471,34
dual4,whow,0.42424242424242425,0.6666666666666666,0.5185185185185185,0.6666666666666666,0.6060606060606061,66
dual4,wikitactics,0.4878048780487805,0.6896551724137931,0.5714285714285714,0.6666666666666666,0.625,80
dual4,All,0.35168737089468793,0.6801082993449512,0.4532168785631165,0.5744188707424002,0.5315837202479757,400
dual5,ceri,0.28846153846153844,0.9375,0.4411764705882353,0.42424242424242425,0.43283582089552236,67
dual5,fora,0.38461538461538464,0.6451612903225806,0.4819277108433735,0.49411764705882355,0.4880952380952381,84
dual5,iq2,0.325,0.5416666666666666,0.40625,0.4864864864864865,0.4492753623188406,69
dual5,umod,0.2,0.6,0.3,0.7083333333333334,0.5882352941176471,34
dual5,whow,0.42424242424242425,0.6666666666666666,0.5185185185185185,0.6666666666666666,0.6060606060606061,66
dual5,wikitactics,0.4878048780487805,0.6896551724137931,0.5714285714285714,0.6666666666666666,0.625,80
dual5,All,0.35168737089468793,0.6801082993449512,0.4532168785631165,0.5744188707424002,0.5315837202479757,400
