Variant,Dataset,Precision,Recall,F1p,F1n,Accuracy,Support
cautious1,ceri,0.2542372881355932,1.0,0.40540540540540543,0.18518518518518517,0.3125,64
cautious1,fora,0.38666666666666666,0.9354838709677419,0.5471698113207547,0.22580645161290322,0.42857142857142855,84
cautious1,iq2,0.3548387096774194,0.9166666666666666,0.5116279069767442,0.16,0.38235294117647056,68
cautious1,umod,0.2,1.0,0.3333333333333333,0.47368421052631576,0.4117647058823529,34
cautious1,whow,0.3389830508474576,0.9523809523809523,0.5,0.2,0.38461538461538464,65
cautious1,wikitactics,0.3333333333333333,0.7777777777777778,0.4666666666666667,0.25,0.37662337662337664,77
cautious1,All,0.31134317477674506,0.930384877965523,0.46070052061715067,0.24911264122073404,0.3827379728115023,392
cautious2,ceri,0.24561403508771928,0.875,0.3835616438356164,0.21052631578947367,0.3076923076923077,65
cautious2,fora,0.38666666666666666,0.9354838709677419,0.5471698113207547,0.22580645161290322,0.42857142857142855,84
cautious2,iq2,0.35,0.875,0.5,0.19230769230769232,0.38235294117647056,68
cautious2,umod,0.2,1.0,0.3333333333333333,0.47368421052631576,0.4117647058823529,34
cautious2,whow,0.3389830508474576,0.9523809523809523,0.5,0.2,0.38461538461538464,65
cautious2,wikitactics,0.3387096774193548,0.7777777777777778,0.47191011235955055,0.27692307692307694,0.38961038961038963,77
cautious2,All,0.3099955716701997,0.9026071001877454,0.45599581680820905,0.2632079578599103,0.3841011929247223,393
concise,ceri,0.2619047619047619,0.8461538461538461,0.4,0.47619047619047616,0.4406779661016949,59
concise,fora,0.391304347826087,0.8571428571428571,0.5373134328358209,0.5507246376811594,0.5441176470588235,68
concise,iq2,0.3157894736842105,0.75,0.4444444444444444,0.2857142857142857,0.375,48
concise,umod,0.13333333333333333,0.4,0.2,0.6,0.4666666666666667,30
concise,whow,0.2894736842105263,0.7333333333333333,0.41509433962264153,0.45614035087719296,0.43636363636363634,55
concise,wikitactics,0.23333333333333334,0.5,0.3181818181818182,0.21052631578947367,0.2682926829268293,41
concise,All,0.27085648904870874,0.6811050061050062,0.3858390058474542,0.4298826777087646,0.4218530998529418,301
descriptive,ceri,0.28125,0.6923076923076923,0.4,0.5263157894736842,0.47058823529411764,51
descriptive,fora,0.4090909090909091,0.72,0.5217391304347826,0.547945205479452,0.5352112676056338,71
descriptive,iq2,0.3448275862068966,0.625,0.4444444444444444,0.46808510638297873,0.45652173913043476,46
descriptive,umod,0.14285714285714285,0.5,0.2222222222222222,0.5882352941176471,0.46153846153846156,26
descriptive,whow,0.36666666666666664,0.6875,0.4782608695652174,0.5862068965517241,0.5384615384615384,52
descriptive,wikitactics,0.38095238095238093,0.6153846153846154,0.47058823529411764,0.5135135135135135,0.49295774647887325,71
descriptive,All,0.3209407809623327,0.6400320512820513,0.42287581699346405,0.5383836342531666,0.49254649808484324,317
role,ceri,0.25,0.7857142857142857,0.3793103448275862,0.41935483870967744,0.4,60
role,fora,0.4406779661016949,0.9285714285714286,0.5977011494252874,0.4444444444444444,0.5333333333333333,75
role,iq2,0.3508771929824561,0.9090909090909091,0.5063291139240507,0.20408163265306123,0.390625,64
role,umod,0.05263157894736842,0.25,0.08695652173913043,0.4,0.27586206896551724,29
role,whow,0.3617021276595745,0.9444444444444444,0.5230769230769231,0.41509433962264153,0.4745762711864407,59
role,wikitactics,0.359375,0.9583333333333334,0.5227272727272727,0.16,0.391304347826087,69
role,All,0.3025439776151823,0.7960257335257336,0.4360168876200417,0.34049587590497077,0.410950170218563,356
