Dataset,Precision,Recall,F1p,F1n,Support
ceri,0.5714285714285714,0.7631578947368421,0.6535211267605634,0.8900804289544236,152
wikitactics,0.5085470085470085,0.780327868852459,0.6157826649417852,0.6746987951807228,305
