dataset,precision,recall,f1,support
ceri,0.3602941176470588,0.5444444444444444,0.4336283185840708,90
umod,0.14285714285714285,0.1875,0.16216216216216217,16
wikitactics,0.38095238095238093,0.7213114754098361,0.4985835694050991,122
