Dataset,Precision,Recall,F1,Support
ceri,0.21621621621621623,0.10256410256410256,0.1391304347826087,156
fora,0.3843467543138866,0.6950222882615156,0.49497354497354495,2692
iq2,0.4210261569416499,0.6799350121852152,0.5200372786579683,2462
whow,0.40736949846468784,0.6368,0.4968789013732834,1875
wikitactics,0.5421052631578948,0.42386831275720166,0.47575057736720555,243
