Dataset,Precision,Recall,F1,Support
fora,0.41146589259796806,0.6221653255303584,0.4953407105416424,2734
iq2,0.4156241312204615,0.614215283483977,0.495771845465097,2434
whow,0.4074496389205625,0.5785213167835942,0.47814451382694023,1853
